slug,resource_id
res-procedure-treatment-options-ind,a218444c5208452295e82bf022239f15
res-procedure-treatment-options,50ab1acf1e49435785a22347e6c05566
res-procedure-implant-insertion,71267184d84e40b4bcaa5b9135b34276
res-procedure-implant-removal,8d103d6b285a45468e96084022e94e2b
res-procedure-iud-ius-insertion,92889b4407224b1d8047cd27c437d942
res-procedure-iud-ius-removal,4d966c316ec54b8ab1fb2dc63006e58e
res-procedure-use-of-condom,894a0975813c482498b10c8194328177
res-procedure-foetal-assessments,a97dd3d08cd04f8c8696d445488af844
res-procedure-india-preventative-management-interventions,62572c2b62da49b4a61104208f23a2f3
res-procedure-india-routine-maternal-screening-and-tests,b06f69d05e824060991f4dcbf36c2c84
res-procedure-preventative-management-interventions-eth,7ff14e11e20142749c3a42cb3332509e
res-procedure-preventative-management-interventions-kyr,c31eaf76dc6e4cb58de0076dcb034cd6
res-procedure-preventative-management-interventions-png,5ddff1fecde04884a8f11c27a44d4d40
res-procedure-preventative-management-interventions,041db3490e9f44f0bc0d9d43f921f376
res-procedure-routine-maternal-screening-and-tests,6e83b24d93e8477e8b5f1e9941a3d378
res-procedure-comprehensive-breastfeeding-global,745207b14946401a9fb4fbb8f28e4fe4
res-procedure-pelvic-floor-muscle-exercises,29583ae0199c4faea58e86384830abe2
res-procedure-administration-of-insulin-using-pen,b298cc69be174689895d9e4c2831312f
res-procedure-administration-of-insulin,ba486b6b8b7a4f1e9e5e2320bfc49cd2
res-procedure-blood-glucose-measurement,a5cf4d40fb9844dda9a2df20f8aa2f00
res-procedure-capillary-blood-glucose-testing-on-newborns,b8efc75e58c84a47b509c54d2ee412fa
res-procedure-oral-glucose-tolerance-test-ogtt,2634492cf048443dad4675ff5251d08a
res-procedure-universal-testing-for-gdm-protocol,5a338aa79c0d418d8c208f273e23a42c
res-procedure-mixing-alcohol-based-handrub,1c38181e71894010ad70d27ab05cbaff
res-procedure-mixing-chlorine-solution,592eb388939b4f3ebe9ade760ccfe1d3
res-procedure-cleaning-manual-vacuum-aspirator,17dfeab0fa5c487d83550dc1b49365e6
res-procedure-urine-catheter,c1aed2d21e604f2bb5f38e3cd3024bb0
res-procedure-foetal-heart-rate,07da6087537c4608a2d78f446d62220e
res-procedure-vacuum-extractor,2a2b034027b14cd387eef54284822768
res-procedure-nasogastric-tube,8311765d069c492fbf27c4776318e050
res-procedure-condom-balloon-tamponade,422f554c80004c23b4554b0d9f8e76db
res-procedure-fr-intravenous-access-equipment,2ab6bb6e71a54d94a148f7f6e4611f94
res-procedure-deinfibulation,61d3cbcd08ae4dcf9089f75b880885fd
res-procedure-breastfeeding,2728846f3b014081ad6017e8cd44271f
res-procedure-naso-and-orogastric-tube,909a13394bae4a02955393981c008fc2
res-procedure-kangaroo-mother-care,581635a639a943d5b588cb8cf23603a8
res-procedure-surgical-hand-washing-handrub,b3358a445fbc4911a8d5a5479b046980
res-procedure-intracervical-block,74efcadab64949448aae0e5c09daa291
res-procedure-protocol-of-clamping-umbilical-cord,1f28b1cbf9014dc1b44419c7a37e3df4
res-procedure-symptoms-of-covid-19,f0770b43d98e4ec3ac24b834808bbe60
res-procedure-are-pregnant-women-an-at-risk-group,73d928e741204e89b456ea1c26ecb274
res-procedure-vertical-transmission-and-newborn-risk,0e53a4e2e86c487dacdc56c1cf6af9e8
res-procedure-care-during-pregnancy-and-birth,f88149b578204406a4d540c6304a4ec4
res-procedure-breastfeeding-and-covid-19,687ab512b0c84c5b93e37cb2e853a80c
res-procedure-minimize-the-spread-of-covid-19-at-the-health-facility,9d37896294e74fbb87918c2deec9900c
res-procedure-five-steps-to-beat-covid-19,6a499921ab0f43208f7ba38a5b5b31ca
res-procedure-donning-and-doffing,4f4fb37a217e49b29a0bb3eb88c0af1e
res-procedure-how-to-make-sodium-hypochlorite-solution,d263277f860140959b899d4fc229455e
res-procedure-bio-medical-waste-management,825b42ded21444279e389df10adc6411
res-procedure-non-pneumatic-anti-shock-garment,b7230701974342dab185853be1f13c46
res-procedure-initial-assessment,6134892fe4fb4dc3a1d95934f5a771e4
res-procedure-calculate-due-date-and-ga,964bd0004d1349748b8daf4f0702c08e
res-procedure-abdominal-examination,0b66466e816a4ba1b85d62736cd32f72
res-procedure-vaginal-examination,0d8b840703c04f2da64a64eb1b16a265
res-procedure-monitoring,99f9a510e9ce44ab84bfc527783e206a
res-procedure-follow-up-visits,28d1d21514d6482ebaefaacb7c8424c2
res-procedure-disinfection-of-newborn-care-unit,49a9359e22264332aa21d24689443027
res-procedure-india-umbilical-vein-catheterisation,115212d0867144a58f369a6e9eb1dc31
res-procedure-nepal-housekeeping,c089797ec4f84203912927eefb4a692d
res-procedure-initial-assessment-sheet,e3ae6545f95e4471a205b09f5931326a
res-procedure-ias-immediate-response-to-an-emergency-for-pregnant-woman,980b2b7af16149cdbbfd0bf0164170bb
res-procedure-ias-listen-to-a-woman-s-complaint,8bd95ef549654f7a915ae9e3ed0f35c6
res-procedure-ias-women-s-general-information-and-obstetrical-history,16281217ae5845c9a1ca6c6310ca35bb
res-procedure-untitled-resource,c0d7e2ff88054c909746c19e8cafc316
res-procedure-ias-assess-the-delivery-progress-decide-stage-of-labour,1293afcdd43b4fb39ac9c38b366d0219
res-procedure-ias-asses-the-delivery-progress-latent-phase,9777192f66c8475fb51d4dd24808caa4
res-procedure-ias-assess-the-delivery-progress-active-phase,3079aa8291bc48f29d98f16d67b747ed
res-procedure-ias-assess-the-delivery-progress-second-phase,a862b95117e840e0b01c7e79cc4476f4
res-procedure-ias-observe-maternal-condition,60ed0b8c3149480f95d8684c0a71baa1
res-procedure-ais-observe-fetal-condition,18884702875d49339e9308b3ead5e0e0
res-procedure-home-isolation-guidelines,865bfb32dee643028e0cb24d9a5348e8
res-procedure-antenatal-care-and-clinical-management-of-covid-19,af22473df96444e18d2f4b568d2f9baa
