slug,klp_id
klp-3-when-to-measure-hemoglobin,842dee3c8714470aad1d810e99451840
klp-2-observation-after-treatment-pph,c1397b70d5fd45ce92fd286092ea946a
klp-3-cbt-is-indicated,5b2d1821ced445f39600bec34c4845b3
klp-3-the-causes-of-vaginal-bleeding,3c9803c3447641118457bae382f65f01
klp-2-positioning-pph,b810c5f80ffd4b8b906b2189d098d8f3
klp-2-positioning-vital-organs,5d1b40603dce49c1b4c6a93d255b0d08
klp-3-actions-helper-at-the-head,fdcb9508a7084bb5979ace2d21fab920
klp-3-actions-helper-at-the-arm,bbf5a6148c2941ccaec18f96775f607d
klp-1-referral-pph,a7ec714ae35b4121adb8a206586238ee
klp-3-iv-fluids-pph,1279f778dfa64c02a47bab8cb804705f
klp-1-how-aorta-compression,2462aef7a6b34daf8c5d66eaf67dc723
klp-3-cardiovascular-symptoms-pph,1ec639c74c5942798445dbf1d1c1c777
klp-1-manual-removal-bemonc,ccc9826045de4308a51ef7eeff47d67f
klp-2-when-manual-removal,fe9cda3de37a4d1186f6ee1959e9d2c3
klp-3-heavy-bleeding,a1632880e4e74f9e98439239d74124bd
klp-2-blood-inside-uterus,c4b0615caa4d4b25be8aa62bcdfacfae
klp-2-excessive-bleeding,507555c10ebd4a339b1e4315418fb0a4
klp-2-stop-bleeding-retained-placenta,1db0b499014d4338aee25d929d640110
klp-3-resuscitation,2a087bd3c3fa4394afdb9549b26d45c0
klp-2-stop-compression-at-resuscitation,e254eecf7e0a4122ac39da97f958a20e
klp-3-how-to-manually-remove-the-placenta,5293d5019a63402d81eb7a74be8385b2
klp-2-aorta-compression-and-manual-removal,227af81a63bb4063af939d8337b1b866
klp-1-repeat-intrauterine-palpation,5db3b6ab0647403697332c9c66f6239f
klp-2-manual-compression-ended-aorta-compression,bc9b3083006e40ff8511c133206626f1
klp-3-action-after-removal,2426593a342348c0b89f4b766e97727c
klp-3-after-removal-of-placenta,f4f23b6915884fedb7fc1a4bd32217b8
klp-1-action-right-after-removal-of-placenta,e6ab06c0ef3848dab70a92e681ee285b
klp-1-septic-abortion,4c134e7210ff4695a3d73b007ebf7f1e
klp-1-complication-to-unsafe-abortion,3cdaab46c8454fd0b0c496913a9c89b1
klp-1-urine-test,02975c5624804347880561d799a05e27
klp-2-complication-to-abortion,f5e2a72704964a19b0db7f04f075c201
klp-1-fever-and-septic-abortion,06caae1cfbe145a0ad1c0e3bc15d9d37
klp-2-what-to-measure,1a5b3cdf4ef2450ba510125f0ffc80e8
klp-1-kangaroo-care,af5fb096116c427d91b2334839c18545
klp-2-cephalic-occiput-posterior,2d98879b7dc6438194117b951283216b
klp-3-more-comfortable,3623d2d9c0e04ff1a10d0308416acf1f
klp-3-prolonged-first-stage-latent-phase,ad839cdec85b4439bab3a757d7900652
klp-3-contractions-causes-if-not-prolonged-latent-phase,a061c015961049229983b99c58d9e03c
klp-1-prolonged-first-stage-active-phase,11eb37d971044bbfbf731504a8208f21
klp-2-progress-of-labour,111a10c094ce40c08104a7201c5a6a33
klp-1-partograph-with-dilatation-between-alert-and-action-line,435a5af84b654242b7c3b951c2e73379
klp-2-cervical-dilatation,2e342f03ac12411fa83de45e26200c2a
klp-1-immediate-delivery,d2bad8fb7c774ba888ad73b900fd7f0b
klp-1-head-above-the-pubic-bone,ea8507678199491888e976028c9a7167
klp-3-posterior-fontanelle-where,f7daddb970ec43c999bcce928c9336b7
klp-2-posterior-fontanelle,ecfb2e603c954b369c4fa9502e92a387
klp-1-placing-the-cup,d77782c038364504abe9b4af82afbcb4
klp-1-check-for-maternal-tissue,cdb354e492784dddb087164f60a56cdb
klp-3-flexion-point,18ffaed31a094bd0a589126d72900db9
klp-3-intact-perineum,a0768c9591ac430792379a8555d861d5
klp-2-prolonged-second-stage,0d1623f6d88c46a58613af9765f76350
klp-1-signs-of-septic-abortion,9ec1f0be545742f1bf4c30f3744dc0dd
klp-3-suspect-lower-abdominal-tenderness,4e928cc0f4b54bb59b2d4d27c93a2fcf
klp-1-septic-abortion-can-be-fatal,101ec9246730484697cddacb3e205a3f
klp-2-most-important-action-at-septic-abortion,6c40583121c646d5ac8597f884c63d6d
klp-1-action-at-septic-abortion,eb6ce4afb1834237a8872a9ac87fe8ac
klp-3-ab-and-evacuation-of-the-uterus,c6d5e3cf98664a09905d5f5fa3a5f5a8
klp-3-which-ab-to-give,3b8a3cd14bb24d9a90d0892d1b4dc0e3
klp-1-urgent-management,fc7f5be2937f47759a58019aa56e33cc
klp-3-correct-order-of-actions,766ac84ddee5407ba46ec1c6c95be0a6
klp-1-peritonitis,432795ff4c50477fab3692eb2d48185c
klp-1-evacuation-of-the-uterus,1a54d58301ab4251bab47af29a093dc4
klp-3-manual-vacuum-aspiration,3af5d77227d3456b9de55fd7882aa533
klp-3-uterus-size-in-week-12,382b433e8621429aae3074843ebad705
klp-3-preparation-for-mva,5d7c08042c0547af98929b1573c77f72
klp-3-analgesic-for-mva,5d9a1b055b5f49b6b73981fbdda90753
klp-3-valves-closed,73fd9c1ba96348fc8d24722f39e8b154
klp-2-vacuum-to-mva-syringe,fb03f3a3ec0a4673b73bb1e39e861250
klp-2-tenaculum,751c9da1302241e4b39630dc203b9ff4
klp-2-dilate-the-cervix,22e67a8ea48846aba25c9754915a0c33
klp-2-no-touch-technique,3a7e023a24ba403a89ecd0d7657fea35
klp-3-size-of-cannula-for-mva,05b215a68f874469a01558ca49de8a91
klp-2-insert-of-the-cannula,b08a585af85249c79e020d1553c58251
klp-2-attachment-of-the-syringe,f932e61adcdf4ca38ae4cb67874ee1b5
klp-2-rotate-and-move-cannula-back-and-forth,b6d9aa6b603943d18c98a80336827cc1
klp-1-end-of-suctioning,2aab2d143609463f9702c76ca0d56ac5
klp-2-use-the-cannula-again,1e3937b17df54eb38b9d7565cdad517f
klp-3-ab-after-mva,6f1fc9759a4741dbb8fa8fb7ce7933eb
klp-3-counselling,6cea54d769654216a8d2703b43ae1427
klp-1-advise-before-dismission,fbb49ee6b58d4ee8965ad8927444f1ba
klp-1-meaning-of-sepsis,b54e062d794d460aae676ac2a7780a68
klp-1-diagnose-sepsis,a22d11df8aca47e9a171559b2427c4bc
klp-1-septic-shock,dd6d9dec46b74c7f99db439929ea289b
klp-2-importance-of-fluid-management,62a24bc2ddd749f5b5463cab79776eba
klp-2-assessment-of-fluid-balance,736da63de07747c39845ec33341efafb
klp-2-fluid-balance-be-calculated,d6cc37f7678c428f915755682a7d19f3
klp-2-fluid-balance-be,873189c15a794b0489af8745f1dee0ab
klp-2-in-case-of-a-septic-shock-it-should-be-calculated-each-hour,c9d4709c2da34f03a84115f928cd924e
klp-2-complications-to-sepsis,94e1162f8dc14411adc7649c39bdbf2b
klp-1-initial-management,9e5974df9e234c499bf8a3cdc8bd3630
klp-2-circulation,e0cea0dc90324696806e88f41e6773d4
klp-3-drugs,d6f9e38f934c4762a0361301e230d9c1
klp-3-ampicillin-sepsis,f3a94af5739d4a3baf5548c3e57372e9
klp-3-gentamicin,4d890468e0c24f3ca50fc3d7c6c3d353
klp-3-metronidazole,bf6653e480714f04bf1e12a24986adc1
klp-3-ceftriaxone,30a3c56ecc5a474fa2e6ec5b52871991
klp-3-tetracycline,23b91236f4f44afc9523b0e1cfad4256
klp-3-chloramphenicol,a95cc58905214f9ebe34312faf581cbc
klp-2-malaria,0e1dd4287a9e4d41beab3d5021957ffa
klp-3-malaria-drugs,503b449dcbdf4d1694de98ddbae45223
klp-3-artesunate,87ecc6feb9724908a121b1728cd72ac5
klp-3-quinine,1bbb24a58f77444f97512f9f1632bd91
klp-3-dosage-artesunate,012e8f605eef4c548586dd9734b7720b
klp-3-dosage-quinine,f33a173326da4478aed61309a212c5cc
